id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
126,M,1.3125,1.0125,0.325,21.27629975,5.68407475,5.42892925,7.2291225,11.0
127,I,1.4,1.1375,0.425,25.86891875,10.0073735,4.649318,7.767763,18.0
128,M,1.375,0.9875,0.3125,22.963095,12.133586,4.97533725,5.6699,10.0
129,I,1.25,1.0625,0.3875,16.76872925,8.164656,3.5436875,5.2446575,8.0
130,I,1.3375,1.05,0.3625,20.08562075,9.42620875,4.4508715,5.10291,8.0
131,M,1.1875,0.9625,0.3,18.27125275,9.6671795,4.025629,4.819415,8.0
132,M,1.65,1.2375,0.425,38.82464025,18.200379,8.00873375,9.7805775,12.0
133,I,1.2125,0.95,0.2625,13.56523575,5.65572525,2.70737725,3.6570855,8.0
134,I,0.8625,0.6375,0.225,6.39281225,2.50893075,1.0489315,1.984465,8.0
135,F,1.4875,1.1625,0.3875,28.91649,15.025235,6.08096775,7.7961125,10.0
136,F,1.4875,1.125,0.3875,26.2232875,12.133586,5.046211,8.50485,12.0
137,M,1.2125,0.925,0.2625,14.968536,6.7188315,3.6003865,4.3941725,10.0
138,M,1.2375,0.9375,0.3125,16.4710595,7.654365,3.8838815,4.3941725,9.0
139,F,1.4375,1.15,0.375,26.251637,14.685041,5.42892925,7.087375,10.0
140,I,1.075,0.8,0.25,10.81533425,4.46504625,2.11203775,2.83495,7.0
141,M,1.375,1.0875,0.375,28.8314415,13.79203175,5.79747275,7.087375,10.0
142,M,1.2,0.9625,0.2875,16.42853525,7.9095105,3.6003865,4.3941725,8.0
143,F,1.0875,0.8375,0.2875,11.77921725,3.92640575,1.7860185,3.685435,13.0
144,I,0.8375,0.6625,0.2,5.65572525,2.05533875,1.587572,1.984465,6.0
145,I,1.3125,1.0375,0.325,19.85882475,11.396499,3.912231,4.819415,8.0
146,F,1.45,1.125,0.375,27.9242575,15.52135125,4.9044635,6.7188315,9.0
147,F,1.675,1.3125,0.5,47.230267,15.422128,10.8578585,17.0097,18.0
148,M,1.6375,1.3125,0.4375,45.68521925,19.504456,10.8578585,11.7650425,11.0
149,I,0.9,0.7375,0.225,6.0951425,2.84912475,1.3891255,1.871067,7.0
150,F,1.4125,1.1375,0.4,25.41532675,9.85145125,4.86193925,7.7961125,17.0
151,M,1.375,1.05,0.35,23.20406575,9.48290775,5.6982495,5.953395,14.0
152,I,0.7,0.5375,0.1875,3.40194,1.8994165,0.80796075,0.97805775,7.0
153,M,1.5625,1.2125,0.4375,38.8104655,16.4143605,8.50485,10.0640725,10.0
154,I,0.6625,0.5125,0.1625,2.381358,0.97805775,0.56699,0.850485,9.0
155,M,1.575,1.2375,0.425,35.6920205,15.2803805,9.128539,9.7805775,12.0
156,I,0.7375,0.5375,0.1875,3.6003865,1.2190285,0.8788345,1.13398,6.0
157,F,1.3625,1.075,0.35,21.6873675,9.87980075,4.52174525,6.3219385,9.0
158,F,1.2625,0.975,0.3,18.824068,8.60407325,4.40834725,5.6699,8.0
159,M,1.5625,1.2375,0.375,34.189497,17.73261225,6.08096775,8.221355,9.0
160,F,1.6875,1.2875,0.4125,44.9906565,19.03668925,9.525432,11.1980525,13.0
161,F,1.375,1.1125,0.3375,26.292801,10.432616,4.876114,7.93786,13.0
162,I,1.0,0.7875,0.275,10.19164525,4.43669675,1.6159215,2.83495,7.0
163,M,1.475,1.15,0.3875,29.80949925,12.870673,7.35669525,8.3631025,12.0
164,F,1.575,1.2125,0.4375,35.19590425,15.63474925,7.7394135,9.87980075,9.0
165,M,1.5875,1.2625,0.45,36.4291075,17.22232125,6.690482,10.489315,10.0
166,F,1.325,1.075,0.35,23.700182,8.66077225,4.40834725,6.23689,16.0
167,M,1.3875,1.1,0.3625,22.9914445,8.7032965,4.86193925,7.37087,12.0
168,F,1.6125,1.25,0.4375,40.92250325,20.6100865,10.1207715,10.0073735,10.0
169,I,1.1375,0.875,0.3,12.74310025,5.71242425,2.8066005,3.8271825,9.0
170,F,1.7,1.3375,0.45,50.6605565,23.23241525,10.70193625,10.602713,11.0
171,F,1.3,1.0,0.3375,20.87940675,7.93786,3.9972795,6.23689,23.0
172,F,1.45,1.1875,0.4125,23.94115275,10.659412,4.6209685,7.7961125,10.0
173,F,0.7,0.525,0.2125,3.04757125,1.0489315,0.680388,0.850485,6.0
174,I,1.025,0.7875,0.225,9.19941275,4.309124,1.8994165,2.6932025,8.0
175,M,1.5,1.175,0.375,31.581343,15.252031,6.13766675,7.087375,10.0
176,M,1.575,1.225,0.4,34.23202125,15.46465225,7.087375,8.9300925,10.0
177,M,1.575,1.2875,0.4,34.0477495,13.16834275,7.6827145,11.4815475,12.0
178,M,1.675,1.3,0.45,40.78075575,13.93377925,10.56018875,12.8423235,12.0
179,M,1.2625,1.025,0.375,19.43358225,7.824462,4.4508715,6.23689,8.0
180,I,0.8,0.6125,0.2125,4.819415,2.0128145,1.4458245,1.70097,8.0
181,M,1.2875,0.9625,0.35,21.38969775,6.19436575,4.83358975,7.654365,16.0
182,M,1.5125,1.1625,0.375,28.22192725,12.20445975,6.30776375,9.922325,19.0
183,F,1.575,1.2125,0.4625,33.40988575,13.947954,8.4198015,9.922325,11.0
184,M,1.8125,1.4375,0.5375,60.34269875,30.34813975,14.5432935,14.74174,12.0
185,F,1.2875,0.9875,0.3375,21.4605715,9.015141,3.72795925,5.20213325,8.0
186,M,1.425,1.0875,0.375,24.6924145,10.092422,5.9250455,6.80388,10.0
187,I,1.425,1.125,0.3625,26.251637,10.035723,5.71242425,7.5126175,11.0
188,M,1.0625,0.775,0.2625,10.0073735,4.9044635,2.11203775,2.83495,8.0
189,I,1.35,1.0625,0.3125,19.17843675,7.1724235,4.53592,5.6699,8.0
190,M,1.675,1.2875,0.4875,41.4753185,17.98775775,9.68135425,10.149121,8.0
191,F,1.4875,1.1875,0.4,25.92561775,10.432616,5.8683465,7.5126175,12.0
192,F,1.6,1.275,0.5,42.48172575,13.93377925,10.4042665,11.623295,18.0
193,I,0.975,0.7625,0.2,7.27164675,4.5075705,1.6159215,2.26796,7.0
194,I,0.9375,0.725,0.2125,7.087375,3.2601925,1.7293195,2.26796,7.0
195,I,0.8,0.6625,0.225,5.25883225,2.11203775,1.00640725,1.984465,6.0
196,I,0.975,0.725,0.2375,6.30776375,2.45223175,1.6726205,2.1262125,6.0
197,I,0.575,0.4,0.0625,1.54504775,0.75126175,0.43941725,0.56699,4.0
198,M,1.25,0.925,0.35,18.01610725,8.9300925,4.86193925,4.53592,9.0
199,M,1.575,1.175,0.325,30.900955,13.2959155,5.8683465,7.7961125,8.0
200,F,1.475,1.1625,0.3375,30.43318825,10.942907,7.6827145,9.07184,13.0
201,I,1.25,1.0,0.35,19.94387325,9.87980075,4.5075705,5.20213325,8.0
202,I,1.4375,1.075,0.3875,23.11901725,9.6104805,4.3941725,6.7755305,9.0
203,M,1.3,1.0,0.3125,17.08057375,8.164656,3.86970675,4.3941725,9.0
204,M,1.0,0.775,0.225,9.8372765,3.9405805,1.82854275,2.4097075,7.0
205,M,1.55,1.2,0.4125,30.6458095,12.99824575,6.4353365,9.4970825,9.0
206,I,0.775,0.5875,0.15,4.49339575,2.3530085,0.86465975,1.13398,7.0
207,I,1.0125,0.7875,0.275,10.27669375,4.9611625,2.14038725,2.9766975,7.0
208,M,1.5,1.225,0.4,30.71668325,12.74310025,6.95980225,8.8166945,10.0
209,I,1.5,1.175,0.4,31.581343,14.04717725,6.08096775,8.221355,9.0
210,F,1.125,0.85,0.2875,13.267566,5.14543425,3.4869885,4.1106775,11.0
211,M,1.45,1.1625,0.375,24.76328825,10.9712565,4.60679375,7.5126175,11.0
212,I,0.825,0.5875,0.2,4.6209685,2.154562,0.83631025,1.360776,6.0
213,M,1.7,1.275,0.4375,39.179009,18.5122235,7.95203475,10.489315,11.0
214,I,1.225,0.9625,0.3125,16.726205,6.860579,2.5231055,5.0745605,8.0
215,F,1.5125,1.1875,0.375,30.5324115,14.288148,5.499803,7.89533575,9.0
216,I,1.15,0.925,0.3,13.19669225,5.443104,2.96252275,4.9611625,7.0
217,F,1.9125,1.4875,0.5125,57.606184,25.98231675,14.18892475,14.84096325,10.0
218,M,1.4375,1.125,0.4125,25.3728025,11.679994,6.1518415,7.087375,10.0
219,M,1.3375,1.125,0.3875,22.58037675,10.3475675,4.49339575,6.2652395,9.0
220,I,1.25,0.9875,0.275,15.6205745,6.08096775,3.98310475,3.98310475,8.0
221,F,1.8125,1.475,0.525,55.735117,21.98503725,13.62193475,16.44271,19.0
222,F,1.4125,1.0625,0.4,24.81998725,8.34892775,4.5075705,9.4970825,13.0
223,M,0.8125,0.5875,0.1875,3.24601775,1.2757275,0.75126175,0.9922325,10.0
224,M,1.3875,1.1625,0.3625,22.7646485,9.7805775,5.48562825,7.5126175,10.0
225,M,1.425,1.1,0.3875,28.76056775,13.99047825,5.9250455,9.63883,9.0
226,M,1.675,1.3125,0.5125,41.39027,17.61921425,8.448151,12.757275,14.0
227,M,1.1875,0.9,0.3125,15.88989475,6.73300625,3.81300775,4.819415,9.0
228,F,1.375,1.15,0.4,25.51455,11.3114505,5.8116475,7.5126175,11.0
229,M,1.575,1.225,0.4125,34.7848365,18.1153305,6.4920355,8.97261675,11.0
230,M,1.75,1.3875,0.5,47.230267,21.78659075,10.999606,13.60776,11.0
231,F,1.6875,1.325,0.4,43.318036,17.916884,9.68135425,10.149121,10.0
232,M,1.4375,1.1875,0.3875,29.97959625,11.566596,7.81028725,8.788345,12.0
233,M,1.4875,1.175,0.375,27.78251,11.8784405,6.010094,8.221355,11.0
234,F,1.5,1.2,0.3625,30.71668325,16.62698175,5.9250455,7.484268,7.0
235,I,0.75,0.575,0.2,3.4302895,1.0489315,0.56699,1.13398,6.0
236,F,1.625,1.2875,0.5125,41.97143475,15.025235,7.47009325,13.04077,19.0
237,M,1.2125,0.975,0.3125,17.4916415,6.05261825,4.15320175,5.6699,12.0
238,I,1.075,0.8,0.2625,9.752228,4.46504625,2.381358,2.9766975,7.0
239,M,1.5375,1.2375,0.425,32.601925,14.92601175,8.00873375,8.9300925,10.0
240,I,1.0625,0.8125,0.25,10.41844125,4.83358975,2.1262125,2.6932025,7.0
241,I,1.0875,0.8375,0.3,11.679994,5.71242425,2.721552,2.87747425,7.0
242,I,0.95,0.725,0.25,9.25611175,4.4508715,2.0128145,2.83495,7.0
243,I,1.2125,0.9125,0.325,15.5071765,6.0951425,3.27436725,4.819415,8.0
244,F,1.55,1.2,0.4375,36.92522375,16.18892475,8.4198015,10.3475675,11.0
245,F,1.75,1.325,0.475,47.62716,22.1976585,11.24057675,11.90679,11.0
246,I,1.075,0.825,0.275,10.33339275,4.32329875,2.2963095,3.5436875,8.0
247,I,1.175,0.9375,0.3,14.571643,6.13766675,3.1467945,4.252425,8.0
248,M,1.575,1.225,0.4125,30.40483875,12.79979925,6.64795775,8.9300925,9.0
249,I,1.4375,1.125,0.3875,28.292801,14.3164975,6.010094,7.087375,9.0
250,I,1.0875,0.8375,0.25,10.70193625,4.5075705,2.154562,3.118445,14.0
251,I,1.2875,0.9375,0.2875,17.70426275,9.42620875,3.005047,4.819415,8.0
252,F,1.8625,1.4625,0.475,53.410458,26.97454925,11.86426575,13.04077,11.0
253,F,1.5,1.2,0.3875,31.75144,12.0485375,6.30776375,9.4970825,9.0
254,I,0.9875,0.75,0.225,8.618248,3.061746,1.60174675,2.551455,7.0
255,M,1.525,1.2,0.4,32.95629375,16.2442635,6.4353365,7.654365,9.0
256,M,1.4125,1.1,0.3875,24.720764,10.9145575,6.30776375,6.7755305,11.0
257,I,1.4375,1.125,0.375,24.70658925,10.19164525,6.293589,7.087375,10.0
258,I,1.0,0.7875,0.2375,9.752228,4.46504625,2.154562,2.28213475,7.0
259,M,1.4125,1.1,0.35,24.8058125,10.70193625,5.14543425,7.2291225,10.0
260,M,1.2875,0.975,0.325,18.01610725,7.10154975,4.43669675,4.37999775,9.0
261,I,1.025,0.775,0.25,9.73805325,4.2807745,2.324659,2.6932025,7.0
262,M,1.45,1.125,0.35,25.231055,13.42348825,4.63514325,6.9456275,10.0
263,I,1.15,0.9375,0.275,13.8062065,5.54232725,2.324659,4.195726,8.0
264,M,1.525,1.1375,0.3875,28.5479465,15.77649675,5.79747275,7.087375,10.0
265,I,1.125,0.8375,0.2625,12.37455675,5.10291,2.45223175,3.118445,8.0
266,F,1.525,1.2125,0.375,26.43590875,12.00601325,6.3219385,8.6465975,10.0
267,I,0.9,0.6625,0.2,5.06038575,2.2963095,1.190679,1.5592225,6.0
268,F,1.4,1.125,0.3875,26.09571475,8.34892775,5.216308,8.788345,18.0
269,F,1.6875,1.3125,0.475,41.8722115,18.0586315,8.37727725,11.3398,11.0
270,F,1.3125,1.0,0.325,18.01610725,7.10154975,4.40834725,5.00368675,9.0
271,M,1.575,1.25,0.425,42.354153,13.79203175,8.1363065,15.30873,17.0
272,M,1.5875,1.225,0.4125,33.0271675,13.834556,7.15824875,8.334753,9.0
273,M,1.125,0.8625,0.25,12.60135275,4.9611625,2.36718325,3.33106625,12.0
274,M,1.4125,1.125,0.4,31.808139,13.25339125,6.76135575,8.0796075,11.0
275,M,1.5125,1.1875,0.3875,31.62386725,15.80484625,7.58349125,7.7961125,11.0
276,M,1.5125,1.1875,0.4125,25.64212275,7.087375,4.5075705,9.922325,22.0
277,M,1.775,1.3625,0.4625,48.00987825,18.86659225,9.53960675,13.324265,17.0
278,M,1.575,1.225,0.45,33.43823525,13.79203175,7.2858215,9.07184,15.0
279,I,1.35,1.075,0.4125,21.38969775,8.32057825,4.479221,6.9456275,10.0
280,I,1.425,1.0875,0.3875,26.7902775,11.4248485,5.74077375,7.72523875,11.0
281,I,1.3,1.0125,0.425,20.19901875,7.3992195,4.762716,8.0796075,13.0
282,M,1.2125,1.0,0.375,20.17066925,8.0796075,4.5075705,5.216308,12.0
283,F,1.5625,1.25,0.4375,34.529691,13.42348825,5.71242425,11.056305,14.0
284,F,1.1375,0.8875,0.3,14.571643,5.7549485,3.41611475,4.3941725,10.0
285,F,1.575,1.2625,0.425,35.0116325,15.2803805,8.7032965,9.922325,10.0
286,F,1.325,1.025,0.3,20.34076625,8.17883075,4.5075705,5.556502,8.0
287,F,1.3,1.0375,0.3375,21.87163925,9.39785925,4.4508715,6.23689,9.0
288,M,1.6,1.3125,0.475,39.81687275,17.73261225,9.56795625,11.3398,12.0
289,F,1.1875,0.925,0.3125,15.83319575,7.087375,3.52951275,3.8271825,9.0
290,M,1.2625,0.9875,0.3125,14.004653,6.27941425,3.58621175,4.3941725,10.0
291,M,1.65,1.3875,0.45,41.7588135,16.499409,8.88756825,13.7495075,9.0
292,I,1.0875,0.8125,0.275,11.01378075,5.329706,2.08368825,2.6932025,8.0
293,F,1.525,1.2125,0.4,30.0221205,13.891255,7.597666,8.50485,11.0
294,F,1.3375,1.05,0.4,23.133192,6.7188315,4.83358975,7.087375,15.0
295,M,1.525,1.225,0.425,35.3518265,15.4504775,7.47009325,9.7805775,11.0
296,F,1.7,1.3125,0.4,43.70075425,19.447757,10.602713,10.9145575,13.0
297,M,1.6125,1.25,0.4625,43.0628905,17.463292,10.36174225,11.056305,11.0
298,M,1.4375,1.1875,0.4125,30.43318825,13.70698325,6.3786375,11.056305,11.0
299,F,1.7,1.3125,0.45,40.83745475,16.6978555,8.09378225,10.6310625,10.0
300,I,1.1875,0.9,0.275,12.48795475,5.159609,2.4097075,3.96893,7.0
301,F,1.25,1.0,0.3125,16.896302,7.52679225,3.35941575,5.2446575,8.0
302,F,1.125,0.85,0.3125,15.2236815,4.83358975,2.664853,5.5281525,17.0
303,M,1.5875,1.2,0.475,39.2073585,16.896302,8.5898985,10.9145575,18.0
304,M,1.2625,0.95,0.3375,15.35125425,6.9456275,3.8271825,4.9611625,10.0
305,F,1.5125,1.125,0.375,31.2694985,13.11164375,6.39281225,9.07184,10.0
306,F,1.6375,1.25,0.4375,49.22890675,16.8112535,8.6465975,16.59863225,20.0
307,F,1.4875,1.15,0.3875,27.71163625,12.0485375,4.66349275,9.4970825,12.0
308,F,1.5,1.175,0.425,29.596878,11.8784405,6.30776375,12.47378,13.0
309,M,1.6,1.2625,0.4375,38.51279575,17.53416575,8.60407325,10.3475675,10.0
310,F,1.625,1.25,0.375,32.95629375,15.989118,6.53455975,9.355335,11.0
311,M,1.175,0.9375,0.2875,13.67863375,6.27941425,2.8066005,4.53592,7.0
312,M,1.6625,1.3125,0.5375,49.45570275,19.77377625,9.68135425,17.0380495,17.0
